text,source_party,source_name,bias_estimate,model_uncertainity,sentence_id,article_id
"Advertisement Initially, the conference attracted only 5,000 attendees; however, 70,000 will attend this event.",Right,townhall,0,0,bd51e6ee-8e88-4901-875d-8c5151b42692,f87a85cb-a8d7-4a63-b71d-50342f2022c3
"The number of workers maintaining wind turbines in the US is set to more than double between 2014 and 2024, according to the US Bureau of Labor Statistics.",Left,alternet,0,0,681738a3-6f56-4124-aae4-52bf803c4d22,62e545ca-11ee-44be-9422-54eff5b1680e
"The two countries have warred over this territory since the early 20th century, but it became particularly intense after the dissolution of the Soviet Union.",Lean Right,the-christian-post,0,0,c9c2c432-d67c-450b-b6d3-1fbd3e4951df,715e6c9e-1b12-4341-9f26-3c00c246ee1b
"Client also represents, warrants and covenants that the Client Trademarks (defined in Section 23) and all website links (including privacy policies and terms of use) that Client requests that the Union-Tribune include on a website or a distribution platform or in other Services or Content developed under this Agreement, including, but not limited to, existing URL, name, contact email address, street address and telephone number furnished by Client, are accurate and complete, and comply with all applicable laws, rules, and regulations.",Lean Left,san-diego-uniontribune,0,0,1d9dc2e9-f237-4d97-9f5a-fa0260340818,60403f7d-9e41-4bbb-bd8f-7feea08488f0
"Rosalynn and Jimmy Cater (center) with (from left) Aimee and Rick Jasculca, Lauren Foley and Andrew Jasculca in Ethiopia in an undated photo.",Lean Left,chicago-suntimes,0,0,1c7fced8-103a-47fd-94cb-37c0bea83bff,5a2bc9f7-bb6a-43de-a564-5e8496b375bf
"What both movies manage to do, and what’s hard to do in any other medium, is put the viewer in the mental space of the women who find themselves cowering or even just worrying that their very reasonable confidence and sense of self-worth will threaten a man, and that there will be consequences.",Left,vox,1,0,ca46d699-5fc6-4522-9d02-b371bc256927,4feae261-ba09-4671-b00b-f47bec835f0b
"Now, we already know that the economic life doesn't actually work that way: when wealthy individuals and companies invest, they tend to do it in financialized vehicles, mergers, acquisitions and interest-bearing accounts while employing the fewest people possible at awful wages.",Left,alternet,1,0,68b4def7-de8a-4479-8130-59d411e39a1d,add03dc0-e18c-4d0f-bde1-814a33b5cb0f
"But if we do ever get there, it would solve a lot of our energy problems in a dramatic way.",Center,wired,1,1,8b5bc16a-0d2e-421b-b352-6ff82db8c74b,017cc133-f6b9-4115-abd1-dd4d9cae0f17
"He was just so relaxed, he was just having so much fun.",Lean Left,vanity-fair,0,0,c3dc468e-febe-4264-94c4-cb7e4553cd9f,eb056940-9eba-4c77-939b-4e55ea4091c0
None of the cases we analysed could meet such a standard.,Lean Left,the-conversation,0,0,1f45a586-403a-4e4a-b0a7-ef9537d0a884,a74f1373-c7c3-40b4-bf46-b092a0cc0985
