text,source_party,source_name,topic,bias_estimate,model_uncertainity,sentence_id,article_id
"In the early 1990s, about 90% of U.S. adults identified as Christians.",Right,newsmax,Geopolitics,0,0,1f0065ca-3531-4705-a78c-bcd9b73de3ae,75e9e572-f17a-4b67-b2eb-943d8fa1e096
"Without sharp, fearless Trump back in office, our very essence will be incinerated.",Right,newsmax,Geopolitics,1,0,a181f98f-1efa-44d1-9142-22a657f585bf,5f7a8d18-1358-4f95-b32e-f785f1d931dc
"Share this - Copied Students sheltered in place, away from windows Students in a journalism class at UNLV looked through a window briefly as they sheltered in place during the active shooter situation, but one student said they were scared to linger too long.",Lean Left,nbc-news,Security,0,0,d1a7fa66-eac0-48e3-ab92-202eb29e3ac4,879bbcbe-d3a9-4dee-8bcc-2c6fb6d07d8b
"Several weeks later, Cavazzoni was summoned before a House of Representatives subcommittee.",Right,newsmax,Conversational,0,0,9143c93d-55a1-475a-b191-d2b5a1456d6c,5fbdd30a-3fa7-4615-b915-c4365f4418d8
"After former House Speaker Kevin McCarthy announced he would not run for re-election in 2024 and would leave Congress at the end of the month, Rep. Matt Gaetz - who led the charge to oust McCarthy - responded with just one word in a post on X, formerly Twitter.",Right,townhall,Politics,0,0,1877d715-e8b8-450f-b49d-9f292e647bd7,f4e5d31e-77e4-4325-a828-c864038db09b
"So they put nipple caps on us, which looked absolutely disgusting - and they used to drop off each night.",Lean Left,the-guardian,Conversational,1,0,2a2d36e3-6793-40fe-af4b-e0af5987750a,c4f698f3-51e3-470a-99b1-a442b7834b21
Some rural Iowans reportedly do it to this day to top off a long day's work.,Left,alternet,Conversational,0,0,0b3f9731-04cc-4e88-a7af-c82697b4e0e5,ea9c42ed-31ed-48f5-b1c2-ec960834cbbf
All of us would be lined up in the hallway with the same date and time on it.,Left,alternet,Economics,0,0,ff8ea5f8-a674-44f1-94bf-5e1b95c0ccb4,2e539920-5dfa-4c17-bfc4-c8df95dba66e
They come in convenient daily packs that will be shipped to your home.,Center,cnet,Conversational,0,0,d32844d4-bd34-46ac-89a5-9ff364d0e24f,67af091b-01bb-4c74-be0f-ed6f3ed37a97
"From the moment she won the Miss Universe Pakistan title in a qualifying pageant this September, Ms. Robin has faced intense backlash from conservative segments of Pakistani society.",Center,christian-science-monitor,Entertainment,1,1,f0a0b613-6006-42b1-800d-2b3f09000336,8eece0bc-d3c6-4b65-a5c6-b84c5142b17d
Dupes started out with expensive and sold-out products- mainly makeup or designer labels- but have since expanded to affordable fashion and every day items.,Lean Right,new-york-post,Entertainment,0,0,4a42f5f4-2cf2-4021-ae18-de8d46a0713c,53f596ce-ee2f-4a75-808c-26d195b12329
"That is, of course, far from the first time Trump has peddled unproven and outlandish conspiracy theories.",Left,alternet,Conversational,1,0,3bf96ecb-7cbd-4b6b-afd1-de202b8e2e8c,5f9e96be-9af1-4c41-9519-ecbba3a1f3dd
Such militarized language and imagery are now all-too-regularly part of our political DNA.,Left,alternet,Politics,1,0,4e84e4a9-74c7-4515-8751-3b5b35bac4a4,29140610-1ec8-4ba8-b74c-731a40162f62
"Far from being a momentary sight, the rainbow flags lining the streets of Bergen Town are featured prominently in the scene and appear to deliberately resemble the same type of LGBT-affirming banners hung everywhere from city halls around the country to mainline Protestant churches to the White House.",Lean Right,the-christian-post,Conversational,0,0,a3513600-ae96-4471-9775-69fbd10121b9,7fd1e7f3-20ae-47bd-a0f8-d34928bc4c51
General Motors also seems heavily committed to electrification and mobility - and they have a situation very similar to Ford’s.,Lean Left,detroit-free-press,Economics,0,0,c5f28f64-41bf-4f38-aa90-0cc4c815a317,07609772-6c55-400b-9009-c3b8e9d9e7d7
"Take-Two says Grand Theft Auto VI is coming to the next-generation consoles, PlayStation 5 and Xbox Series X/S, in 2025.",Lean Left,time-magazine,Gaming,0,0,587d54dd-6e62-4348-bbe2-4e5275329725,41b51543-b48b-4a75-be92-4b42f9383446
By adding a $2 per month charge for each water meter - roughly 7 cents per day - we can have a dedicated revenue source in a state account available for local water providers to bridge the gap between the amount low-income households can reasonably afford to pay and the true costs of services.,Lean Left,detroit-free-press,Environment,0,0,1659835a-4151-49f6-b47f-8198230c083b,ba5875cf-bb18-4418-a856-bc8defeee0a4
"Ultimately, that rumbling and grumbling about what was so obviously unfair boiled over into open dissent.",Lean Left,detroit-free-press,Finance,1,0,a9ea0843-3035-4302-b1a4-e582a573d045,0a375be9-4a1f-410d-9a46-31d8e4aa6b7e
"Read the review 64 On Writing by Stephen King (2000) Written after a near-fatal accident, this combination of memoir and masterclass by fiction’s most successful modern storyteller showcases the blunt, casual brilliance of King at his best.",Lean Left,the-guardian,Conversational,1,1,ad4cee91-dbc4-4a11-ade2-4a8216d3be38,713ffb61-fa38-44ea-9018-6332a58f114b
"It’s much larger than a family estrangement, and remaining estranged - or making up, for that matter - won’t fix it.",Lean Left,the-guardian,Entertainment,0,0,94d516e2-e54b-45b8-baad-d9d82a2f64f1,54b3c352-fb77-409c-90a3-33e0bf758904
"Newsom didn’t answer any of the questions, resorting to name-calling and evasion, but he was there.",Right,townhall,Politics,1,0,34c0a2df-1974-411c-8043-69f53749bc0a,1ee81391-b8f4-4b5c-80ae-bb0004bf3542
