text,source_party,source_name,bias_estimate,model_uncertainity,sentence_id,article_id
"Below, we'll outline the best live TV streaming services for watching all of the action live wherever you are in the world.",Center,cnet,0,0,b8265b42-8de1-4bb1-a1f4-71c978331901,2606ad03-f831-407f-b762-59c17b2f8093
Even getting on the ballot across the country is a cumbersome and daunting process for third-party candidates.,Lean Left,washington-post,1,0,43c2d543-b59a-4a9f-b8f5-d97e0405f376,a8c61860-2c5b-4b41-97dc-aa37e3431e38
"Broadband is dominated by three giant cable companies, all raising their prices.",Left,alternet,1,1,f08dab5f-8501-428f-a285-5be7f9a05f5d,504e7959-d767-49ba-ba77-22e7206edb12
"Doherty was previously married to Ashley Hamilton from 1993 to 1994, and Rick Salomon from 2002 to 2003.",Left,huffpost,0,0,b3ed6cd1-b8bf-4d44-8a0b-344b21203dd7,4532558b-88b1-44e1-9553-21c487d82270
"At the time, Europeans looked down their noses at the Japanese with scarcely veiled racial condescension.",Left,alternet,1,0,1a4b86bc-5c5d-412a-bb9e-9f791d48bb9d,2f6c3890-d73f-4a01-8e85-174d208bb608
"Maybe it was because those in the narrowing field of challengers to Donald Trump for the 2024 Republican presidential nomination had nothing else to lose Wednesday night, given the former president's prodigious lead in the polls.",Right,newsmax,1,1,98297eab-46fa-46dd-bd49-d54a646c9af9,aff0cf7e-674b-423b-9562-9cce725d2d3a
The Justice Department has not indicated whether it will challenge that deal.,Center,quartz,0,0,33a72b30-890d-4dfb-8511-5c84c2fd1bf7,f8c816f3-a5c5-454f-a89b-5528dd48c2c4
"But you would see them for years try to figure out, like, How do we appeal to teen boys?",Left,the-atlantic,1,0,12b4a95c-6e99-4d43-9e17-9e410c1278bc,412e5a63-576c-42df-abb8-e716648cf998
You just don’t get that kind of honesty out of Christians these days.,Lean Right,the-christian-post,1,0,17b2b49d-07e8-407e-be28-cb1c06f94558,48d1e5fd-31c4-4c12-b59d-88c388913870
"The best way for a government to fight terrorist movements is to avoid killing civilians-otherwise, the cycle of victimization just breeds more terrorists.",Center,foreign-affairs,1,0,f2df4870-5b9b-4bdd-923d-1898b0aa095a,19fc01a9-3bb7-488f-90ad-841335d52f8a
"He cycled in and out of North Star starting when he was 5, ultimately spending a cumulative 429 days there.",Left,mother-jones,0,0,2236d15a-b32b-41b5-a90b-d9a779abf100,87d2f94a-91d8-44ef-a8f8-16e5ac862df6
"The worst offender here is Austerlitz, which looks incredibly cool on screen but is entirely made up.",Right,the-federalist,1,0,826f566c-10e4-4a99-a7f1-a0f1052dc851,4967c478-2191-4891-998c-12bc0cf529fa
